rating_id,user_id,content_id,rating
1,1,C0406,1
2,2,C0279,3
3,6,C0266,3
4,6,C0143,2
5,6,C0100,2
6,7,C0325,2
7,7,C0390,2
8,10,C0110,2
9,11,C0099,3
10,11,C0016,4
11,13,C0471,4
12,13,C0383,4
13,14,C0323,4
14,14,C0198,5
15,14,C0440,4
16,14,C0480,1
17,14,C0489,4
18,14,C0302,5
19,14,C0495,5
20,15,C0338,3
21,15,C0189,3
22,16,C0061,2
23,16,C0249,3
24,16,C0285,4
25,18,C0368,4
26,19,C0057,4
27,19,C0011,3
28,19,C0245,3
29,19,C0241,4
30,19,C0184,5
31,20,C0241,2
32,20,C0402,1
33,20,C0289,3
34,21,C0167,4
35,21,C0113,2
36,21,C0141,1
37,24,C0195,3
38,24,C0042,4
39,25,C0093,5
40,26,C0097,1
41,26,C0082,2
42,29,C0347,4
43,32,C0230,3
44,32,C0083,3
45,34,C0303,2
46,34,C0091,4
47,35,C0497,3
48,35,C0030,4
49,35,C0472,2
50,35,C0412,3
51,35,C0061,4
52,35,C0016,4
53,35,C0184,4
54,35,C0112,5
55,35,C0482,4
56,37,C0389,5
57,37,C0204,3
58,37,C0091,4
59,37,C0356,1
60,38,C0449,5
61,38,C0192,3
62,38,C0255,3
63,38,C0102,3
64,38,C0094,4
65,38,C0136,4
66,38,C0241,3
67,40,C0129,4
68,40,C0061,4
69,42,C0319,3
70,42,C0071,3
71,43,C0475,4
72,45,C0010,1
73,45,C0302,4
74,45,C0145,2
75,47,C0218,5
76,47,C0149,3
77,49,C0233,4
78,49,C0347,5
79,49,C0464,2
80,49,C0269,4
81,51,C0380,2
82,52,C0044,3
83,52,C0392,5
84,53,C0169,4
85,53,C0316,3
86,53,C0327,5
87,53,C0237,4
88,53,C0324,3
89,55,C0266,3
90,55,C0039,4
91,55,C0149,2
92,55,C0123,4
93,55,C0196,1
94,56,C0020,4
95,56,C0468,4
96,56,C0198,2
97,57,C0452,5
98,58,C0406,3
99,58,C0129,3
100,58,C0350,2
101,59,C0036,5
102,59,C0225,3
103,59,C0124,3
104,62,C0405,5
105,62,C0206,5
106,62,C0403,4
107,62,C0098,2
108,62,C0499,4
109,64,C0224,2
110,64,C0474,2
111,65,C0187,2
112,68,C0419,3
113,68,C0301,3
114,68,C0021,4
115,68,C0036,4
116,68,C0292,2
117,68,C0004,3
118,69,C0031,1
119,69,C0173,4
120,69,C0134,3
121,69,C0258,3
122,69,C0046,2
123,70,C0491,3
124,70,C0440,4
125,71,C0092,3
126,72,C0084,3
127,72,C0444,3
128,75,C0366,4
129,75,C0114,5
130,76,C0384,2
131,77,C0375,2
132,77,C0192,2
133,77,C0365,4
134,77,C0086,1
135,78,C0211,3
136,78,C0357,4
137,78,C0008,4
138,78,C0262,3
139,79,C0125,2
140,79,C0364,4
141,79,C0491,4
142,79,C0409,3
143,79,C0464,4
144,79,C0265,4
145,79,C0100,5
146,81,C0402,1
147,81,C0369,3
148,83,C0013,1
149,86,C0226,4
150,86,C0243,4
151,86,C0337,2
152,86,C0431,3
153,86,C0112,5
154,86,C0112,4
155,86,C0253,3
156,86,C0316,3
157,86,C0338,2
158,87,C0287,1
159,87,C0253,5
160,87,C0117,3
161,89,C0246,4
162,90,C0115,3
163,90,C0053,4
164,90,C0163,3
165,91,C0154,2
166,92,C0008,5
167,93,C0165,2
168,93,C0261,3
169,93,C0150,3
170,93,C0098,2
171,93,C0472,4
172,95,C0322,3
173,95,C0270,2
174,96,C0253,5
175,97,C0002,2
176,98,C0157,2
177,102,C0238,3
178,102,C0167,3
179,103,C0347,4
180,105,C0362,1
181,107,C0132,3
182,108,C0058,3
183,108,C0392,3
184,108,C0380,3
185,108,C0483,4
186,109,C0043,3
187,109,C0139,5
188,110,C0321,2
189,111,C0439,3
190,111,C0471,4
191,113,C0207,5
192,114,C0248,2
193,116,C0495,2
194,116,C0249,4
195,120,C0153,2
196,120,C0203,4
197,120,C0107,2
198,120,C0304,3
199,120,C0277,3
200,120,C0304,4
201,122,C0248,2
202,122,C0471,5
203,122,C0215,3
204,122,C0307,3
205,122,C0342,3
206,124,C0058,4
207,124,C0459,4
208,125,C0004,3
209,125,C0284,2
210,125,C0148,2
211,125,C0436,4
212,125,C0027,4
213,125,C0042,5
214,127,C0487,3
215,129,C0159,4
216,129,C0001,4
217,130,C0373,4
218,130,C0226,5
219,130,C0318,4
220,132,C0440,3
221,133,C0114,5
222,133,C0198,3
223,133,C0130,3
224,134,C0277,3
225,136,C0112,4
226,141,C0126,4
227,141,C0274,4
228,141,C0114,4
229,141,C0161,3
230,143,C0042,4
231,145,C0289,3
232,145,C0145,3
233,146,C0067,2
234,146,C0359,3
235,146,C0044,4
236,147,C0368,3
237,147,C0346,3
238,147,C0442,3
239,147,C0025,3
240,148,C0077,2
241,153,C0346,3
242,153,C0498,4
243,154,C0232,4
244,156,C0500,4
245,157,C0137,1
246,157,C0016,4
247,158,C0422,2
248,163,C0099,4
249,163,C0419,3
250,163,C0115,2
251,164,C0351,5
252,164,C0292,3
253,164,C0341,3
254,164,C0446,3
255,164,C0181,4
256,166,C0460,3
257,166,C0134,3
258,166,C0312,4
259,167,C0487,4
260,167,C0115,2
261,168,C0090,1
262,169,C0302,4
263,174,C0168,3
264,174,C0156,3
265,174,C0030,4
266,174,C0118,2
267,175,C0139,4
268,175,C0443,1
269,176,C0005,4
270,177,C0318,3
271,177,C0487,3
272,178,C0451,4
273,179,C0199,4
274,179,C0381,4
275,180,C0405,3
276,180,C0288,1
277,180,C0238,2
278,181,C0482,3
279,182,C0470,3
280,183,C0234,3
281,183,C0359,2
282,185,C0136,5
283,186,C0334,4
284,186,C0226,4
285,186,C0126,5
286,186,C0001,4
287,188,C0408,3
288,189,C0284,1
289,191,C0060,2
290,191,C0200,2
291,192,C0481,2
292,195,C0392,4
293,195,C0235,3
294,197,C0308,3
295,197,C0380,3
296,199,C0443,2
297,199,C0371,4
298,199,C0123,4
299,199,C0405,3
300,199,C0336,3
301,199,C0086,2
302,200,C0493,4
303,202,C0010,2
304,203,C0202,3
305,203,C0180,5
306,203,C0343,2
307,204,C0234,2
308,204,C0445,3
309,204,C0434,3
310,204,C0021,3
311,204,C0192,2
312,205,C0334,5
313,205,C0025,4
314,205,C0289,3
315,205,C0160,4
316,205,C0285,3
317,208,C0183,3
318,208,C0023,2
319,209,C0243,4
320,209,C0491,3
321,209,C0342,3
322,209,C0285,3
323,209,C0409,3
324,209,C0155,4
325,209,C0467,3
326,210,C0210,2
327,210,C0163,3
328,210,C0217,3
329,212,C0406,3
330,213,C0344,3
331,214,C0066,2
332,214,C0126,3
333,214,C0207,5
334,214,C0110,4
335,215,C0148,5
336,215,C0233,4
337,215,C0327,5
338,216,C0452,2
339,216,C0173,3
340,219,C0432,2
341,219,C0065,4
342,220,C0295,5
343,220,C0215,1
344,221,C0430,2
345,221,C0351,5
346,221,C0084,3
347,222,C0213,3
348,224,C0218,4
349,224,C0243,4
350,224,C0090,2
351,226,C0231,3
352,227,C0415,3
353,228,C0198,4
354,232,C0296,4
355,232,C0352,3
356,232,C0339,2
357,232,C0243,3
358,232,C0046,1
359,233,C0202,3
360,233,C0447,3
361,240,C0369,2
362,241,C0444,3
363,241,C0028,3
364,241,C0292,2
365,241,C0139,4
366,244,C0314,4
367,246,C0001,4
368,246,C0055,4
369,246,C0434,3
370,247,C0389,4
371,247,C0084,3
372,250,C0271,3
373,250,C0117,3
374,250,C0316,3
375,251,C0481,3
376,251,C0229,2
377,253,C0120,5
378,254,C0411,3
379,254,C0421,3
380,255,C0323,3
381,256,C0207,4
382,256,C0248,3
383,257,C0269,2
384,257,C0438,4
385,258,C0020,5
386,260,C0452,2
387,261,C0314,2
388,262,C0035,3
389,262,C0310,4
390,263,C0231,3
391,265,C0148,3
392,265,C0217,4
393,267,C0356,1
394,267,C0173,4
395,267,C0422,3
396,267,C0464,3
397,268,C0103,2
398,272,C0408,3
399,272,C0173,3
400,272,C0218,3
401,272,C0065,3
402,274,C0442,4
403,275,C0016,5
404,275,C0042,5
405,275,C0469,3
406,276,C0075,2
407,276,C0337,2
408,276,C0333,4
409,277,C0334,3
410,278,C0231,3
411,278,C0497,4
412,278,C0226,4
413,279,C0077,1
414,279,C0353,4
415,279,C0398,2
416,279,C0233,5
417,279,C0405,3
418,279,C0084,3
419,279,C0413,3
420,280,C0149,2
421,280,C0011,4
422,281,C0174,3
423,281,C0387,2
424,281,C0397,2
425,281,C0427,3
426,281,C0409,2
427,281,C0310,3
428,281,C0084,2
429,282,C0361,3
430,286,C0245,2
431,286,C0271,4
432,287,C0052,4
433,289,C0274,5
434,291,C0392,4
435,291,C0156,3
436,291,C0284,3
